interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter2_gender,alter2_age,alter2_class,alter2_home,alter3_gender,alter3_age,alter3_class,alter3_home,alter4_gender,alter4_age,alter4_class,alter4_home,alter5_gender,alter5_age,alter5_class,alter5_home
3,9/6/17,9:31:00 PM,Male,19,Sophomore,LA Area,6+,Male,19,Sophomore,LA Area,Male,19,Sophomore,LA Area,Female,25,Other,LA Area,Male,19,Sophomore,LA Area,Male,53,Other,Rest of World
1,8/28/17,1:42:00 PM,Female,19,Sophomore,Rest of United States,3,Male,19,Sophomore,Rest of United States,Male,19,Sophomore,LA Area,Female,19,Sophomore,LA Area,,,,,,,,
2,9/6/17,11:45:00 PM,Female,19,Sophomore,LA Area,6+,Female,19,Sophomore,Bay Area,Female,19,Sophomore,Rest of United States,Female,19,Sophomore,Bay Area,Female,19,Sophomore,LA Area,Male,20,Sophomore,Rest of California
3,9/7/17,9:00:00 AM,Female,19,Sophomore,Bay Area,6+,Female,19,Sophomore,LA Area,Female,19,Sophomore,Bay Area,Female,19,Sophomore,Rest of United States,Female,18,Freshman,Bay Area,Male,23,Other,Bay Area
1,8/28/17,1:47:00 PM,Male,19,Sophomore,Rest of United States,6+,Female,54,Other,Rest of United States,Male,56,Other,Rest of United States,Female,22,Other,Rest of United States,Male,19,Sophomore,Rest of United States,Male,19,Sophomore,Rest of United States
2,9/7/17,8:40:00 PM,Male,18,Sophomore,Bay Area,4,Male,18,Sophomore,Bay Area,Male,19,Sophomore,Bay Area,Female,42,Other,Rest of World,Female,19,Sophomore,Bay Area,,,,
3,9/7/17,9:10:00 PM,Male,19,Sophomore,Bay Area,5,Female,40,Other,Rest of World,Male,45,Other,Rest of World,Male,19,Sophomore,Bay Area,Male,45,Other,Bay Area,Male,19,Sophomore,Bay Area
1,9/7/17,5:47:00 PM,Female,22,Junior,Rest of World,5,Male,22,Junior,Rest of World,Female,21,Senior,Rest of World,Female,52,Other,Rest of World,Male,22,Junior,Rest of World,Female,21,Other,LA Area
2,9/7/17,6:15:00 PM,Female,20,Junior,Rest of World,5,Female,20,Junior,Rest of World,Female,20,Freshman,Rest of World,Female,21,Other,Rest of World,Female,16,Other,Rest of World,Female,18,Freshman,Rest of World
3,9/7/17,10:11:00 PM,Female,20,Junior,Rest of World,4,Male,40,,Rest of World,,50,Other,Rest of World,Male,20,Junior,Rest of World,Male,20,Junior,Rest of World,,,,
